No.,Kode Provinsi,Nama Provinsi,Tahun,Konsumsi Protein (gram/kap/hari)
1,11,Aceh,2018,59.10
2,12,Sumatera Utara,2018,63.36
3,13,Sumatera Barat,2018,58.93
4,14,Riau,2018,58.59
5,15,Jambi,2018,57.86
6,16,Sumatera Selatan,2018,59.46
7,17,Bengkulu,2018,59.53
8,18,Lampung,2018,56.50
9,19,Kepulauan Bangka Belitung,2018,63.77
10,21,Kepulauan Riau,2018,63.29
11,31,DKI Jakarta,2018,72.27
12,32,Jawa Barat,2018,64.80
13,33,Jawa Tengah,2018,60.70
14,34,DI Yogyakarta,2018,70.30
15,35,Jawa Timur,2018,61.80
16,36,Banten,2018,66.80
17,51,Bali,2018,65.60
18,52,Nusa Tenggara Barat,2018,69.50
19,53,Nusa Tenggara Timur,2018,54.60
20,61,Kalimantan Barat,2018,55.80
21,62,Kalimantan Tengah,2018,63.80
22,63,Kalimantan Selatan,2018,63.80
23,64,Kalimantan Timur,2018,62.10
24,65,Kalimantan Utara,2018,62.60
25,71,Sulawesi Utara,2018,64.60
26,72,Sulawesi Tengah,2018,57.70
27,73,Sulawesi Selatan,2018,63.40
28,74,Sulawesi Tenggara,2018,62.00
29,75,Gorontalo,2018,60.40
30,76,Sulawesi Barat,2018,55.60
31,81,Maluku,2018,49.90
32,82,Maluku Utara,2018,60.00
33,91,Papua Barat,2018,55.50
34,94,Papua,2018,44.40
35,11,Aceh,2019,58.90
36,12,Sumatera Utara,2019,63.50
37,13,Sumatera Barat,2019,58.60
38,14,Riau,2019,58.40
39,15,Jambi,2019,58.00
40,16,Sumatera Selatan,2019,60.00
41,17,Bengkulu,2019,58.50
42,18,Lampung,2019,57.50
43,19,Kepulauan Bangka Belitung,2019,66.70
44,21,Kepulauan Riau,2019,65.50
45,31,DKI Jakarta,2019,70.60
46,32,Jawa Barat,2019,64.90
47,33,Jawa Tengah,2019,59.90
48,34,DI Yogyakarta,2019,70.70
49,35,Jawa Timur,2019,60.90
50,36,Banten,2019,67.10
51,51,Bali,2019,66.00
52,52,Nusa Tenggara Barat,2019,76.00
53,53,Nusa Tenggara Timur,2019,55.00
54,61,Kalimantan Barat,2019,56.00
55,62,Kalimantan Tengah,2019,63.50
56,63,Kalimantan Selatan,2019,68.20
57,64,Kalimantan Timur,2019,63.50
58,65,Kalimantan Utara,2019,64.60
59,71,Sulawesi Utara,2019,63.60
60,72,Sulawesi Tengah,2019,57.00
61,73,Sulawesi Selatan,2019,63.70
62,74,Sulawesi Tenggara,2019,61.90
63,75,Gorontalo,2019,62.40
64,76,Sulawesi Barat,2019,59.30
65,81,Maluku,2019,50.40
66,82,Maluku Utara,2019,48.00
67,91,Papua Barat,2019,55.90
68,94,Papua,2019,45.10
69,11,Aceh,2020,61.00
70,12,Sumatera Utara,2020,62.60
71,13,Sumatera Barat,2020,57.90
72,14,Riau,2020,59.40
73,15,Jambi,2020,58.00
74,16,Sumatera Selatan,2020,59.90
75,17,Bengkulu,2020,59.40
76,18,Lampung,2020,56.40
77,19,Kepulauan Bangka Belitung,2020,65.80
78,21,Kepulauan Riau,2020,69.40
79,31,DKI Jakarta,2020,70.40
80,32,Jawa Barat,2020,64.30
81,33,Jawa Tengah,2020,60.20
82,34,DI Yogyakarta,2020,69.00
83,35,Jawa Timur,2020,60.40
84,36,Banten,2020,67.30
85,51,Bali,2020,66.70
86,52,Nusa Tenggara Barat,2020,74.00
87,53,Nusa Tenggara Timur,2020,55.50
88,61,Kalimantan Barat,2020,55.60
89,62,Kalimantan Tengah,2020,62.80
90,63,Kalimantan Selatan,2020,68.60
91,64,Kalimantan Timur,2020,64.10
92,65,Kalimantan Utara,2020,63.90
93,71,Sulawesi Utara,2020,65.00
94,72,Sulawesi Tengah,2020,57.50
95,73,Sulawesi Selatan,2020,61.70
96,74,Sulawesi Tenggara,2020,61.30
97,75,Gorontalo,2020,58.90
98,76,Sulawesi Barat,2020,57.80
99,81,Maluku,2020,51.50
100,82,Maluku Utara,2020,48.50
101,91,Papua Barat,2020,55.40
102,94,Papua,2020,47.00
103,11,Aceh,2021,63.10
104,12,Sumatera Utara,2021,63.20
105,13,Sumatera Barat,2021,58.40
106,14,Riau,2021,58.10
107,15,Jambi,2021,60.00
108,16,Sumatera Selatan,2021,63.70
109,17,Bengkulu,2021,59.00
110,18,Lampung,2021,58.30
