Tanggal,Daging Ayam Ras (Rp),Disparitas HET/HA Daging Ayam (%),Telur Ayam Ras (Rp),Disparitas HET/HA Telur Ayam (%)
13 Jul,36009,0.2,26030,4.7
14 Jul,36270,0.3,26020,4.6
15 Jul,36460,0.2,26060,4.5
16 Jul,36640,0.5,26340,4.6
17 Jul,36810,1.0,26440,4.7
20 Jul,37010,1.8,27030,5.0
21 Jul,37110,2.0,27110,5.0
22 Jul,37180,2.3,27250,5.1
23 Jul,37220,2.5,27290,5.0
24 Jul,37300,2.6,27344,5.0
27 Jul,37460,2.8,27220,5.0
28 Jul,37540,3.0,27150,4.9
29 Jul,37700,3.1,27100,4.9
30 Jul,37930,3.3,27090,4.9
31 Jul,38020,3.5,27010,4.9
03 Aug,38290,3.8,26720,4.9
04 Aug,38400,4.0,26670,4.9
05 Aug,38440,4.0,26570,4.9
06 Aug,38520,4.2,26490,4.8
07 Aug,38560,4.3,26460,4.8
10 Aug,39090,5.0,26450,4.9
11 Aug,39279,5.2,26420,4.9
