candle_index,approx_period,open_est,high_est,low_est,close_est
1,mid-Jul (start),320.0,321.5,313.5,314.0
2,mid-Jul,314.0,316.0,309.5,310.0
3,mid-Jul,310.0,311.0,308.0,309.0
4,mid-Jul,309.0,313.5,308.5,313.0
5,mid-Jul,313.0,317.0,312.5,316.5
6,mid-Jul,316.5,318.0,315.0,317.5
7,late-Jul,317.5,320.0,316.0,319.5
8,late-Jul,319.5,321.5,318.0,321.0
9,late-Jul,321.0,325.5,320.5,325.0
10,late-Jul,325.0,328.5,324.5,328.0
11,late-Jul,328.0,335.5,327.5,335.0
12,late-Jul,335.0,336.5,332.5,333.0
13,late-Jul,333.0,334.5,331.0,332.0
14,late-Jul,332.0,335.0,331.5,334.5
15,late-Jul,334.5,336.5,332.5,333.5
16,late-Jul,333.5,335.5,330.0,330.5
17,early-Aug,330.5,331.5,325.5,326.0
18,early-Aug,326.0,327.0,323.5,324.0
19,early-Aug,324.0,325.5,323.0,323.5
20,early-Aug,323.5,326.5,323.0,326.0
21,early-Aug,326.0,327.5,325.0,325.5
22,early-Aug,325.5,326.5,323.0,323.5
23,early-Aug,323.5,324.5,321.5,322.0
24,early-Aug,322.0,323.0,320.5,321.0
25,early-Aug,321.0,322.0,319.5,320.0
26,early-Aug,320.0,321.0,318.0,318.5
27,early-Aug,318.5,319.5,317.0,317.5
28,early-Aug,317.5,318.5,315.5,316.0
29,early-Aug,316.0,317.0,314.5,315.0
30,current (Aug 12),315.0,317.0,313.5,314.0
31,current (Aug 12),314.0,315.5,310.5,311.0
32,latest,311.85,312.25,311.65,312.15
